year,iiso3c,eiso3c,value,contig,comlang_off,colony,dist,distcap,distw,distwces,ell,ill,egdp,egdppc,epop,igdp,igdppc,ipop
2013,ALB,MKD,81302187.0,1,0,0,155.9628,155.9628,168.1648,151.2932,1,0,7959429439.83,3840.41703348,2072543.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MLT,3183900.0,0,0,0,759.1236,759.1236,750.625,748.5033,0,0,7095691031.17,16759.864874,423374.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MMR,1843.0,0,0,0,7666.058,7666.058,7577.652,7572.375,0,0,,,52983829.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MNG,874.0,0,0,0,6559.96,6559.96,6500.372,6484.165,1,0,5080026029.69,1776.74602164,2859174.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MOZ,136.0,0,0,0,7605.371,7605.371,7097.157,7066.237,0,0,11128740364.1,420.473218683,26467180.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MRT,205536.0,0,0,0,4264.968,4264.968,4175.767,4167.796,0,0,3270693687.82,844.55475526,3872684.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MUS,4572.0,0,0,0,7871.458,7871.458,7862.411,7862.097,0,0,8661733284.63,6881.7484125,1258653.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MWI,84.0,0,0,0,6321.25,6321.25,6363.684,6358.093,1,0,4333271640.26,267.64903746,16190126.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,MYS,3763478.0,0,0,0,9108.602,9108.602,9263.163,9245.184,0,0,2.07951396117e+11,7057.4841586,29465372.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NAM,39239.0,0,0,0,7117.55,7117.55,7031.814,7020.057,0,0,10513028491.2,4480.1262815,2346592.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NER,3108.0,0,0,0,3539.309,3539.309,3342.36,3326.596,1,0,5242200415.91,285.540581457,18358863.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NGA,1524.0,0,0,0,4207.215,3788.67,3946.62,3920.294,0,0,1.83309437474e+11,1060.7171158,172816517.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NIC,5215.0,0,0,0,10434.08,10434.08,10418.4,10417.92,0,0,8350353262.77,1404.44844223,5945646.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NOR,1864435.0,0,0,0,2160.437,2160.437,2271.863,2251.825,0,0,3.37855180442e+11,66511.861302,5079623.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NPL,,0,0,0,6050.166,6050.166,6012.951,6007.042,1,0,11370379663.8,408.492452852,27834981.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,NZL,576703.0,0,0,0,17971.9,17971.9,17853.96,17853.21,0,0,1.29714285714e+11,29201.1178754,4442100.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,OMN,383683.0,0,0,0,4096.846,4096.846,4039.043,4035.984,0,0,45303761304.2,11595.7977308,3906912.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PER,755554.0,0,0,0,11472.13,11472.13,11370.4,11367.35,0,0,1.24791491189e+11,4082.76162394,30565461.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PHL,339207.0,0,0,0,9850.101,9850.101,10011.04,10002.1,0,0,1.55608838544e+11,1594.81567728,97571676.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PNG,2314.0,0,0,0,13790.3,13790.3,13639.35,13633.7,0,0,8204074240.01,1122.48281539,7308864.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PRK,50672.0,0,0,0,8371.93,8371.93,8391.325,8390.774,0,0,,,24895705.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PRT,4872221.0,0,0,0,2472.398,2472.398,2481.031,2468.811,0,0,1.88596194503e+11,18034.8928191,10457295.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PRY,1042556.0,0,0,0,10877.48,10877.48,10823.77,10822.89,1,0,13122275725.6,2029.5310084,6465669.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,QAT,3024549.0,0,0,0,3422.078,3422.078,3402.381,3401.937,0,0,1.29889195708e+11,61814.0853171,2101288.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,RUS,91220169.0,0,0,0,2063.678,2063.678,2777.355,2473.989,0,0,9.93468541218e+11,6922.79231916,143506911.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SEN,56378.0,0,0,0,4656.532,4656.532,4614.387,4613.112,0,0,11328685209.4,796.614341342,14221041.0,11346755234.8,3916.23123721,2897366.0
